Title,Author,Translator,Language ,Publication_Year,Publisher,Place_of_publication
the Jalayarids: dynastic state formation in the mongol middle east,"Wing, Patrick",N/A,English ,2016,Edinburgh University Press,Edinburgh
In the tracks of Tamerlane : Central Asia's path to the 21st century,"Burghart, Daniel L",N/A,English ,2004,"Center For Technology and National Security Policy,",Washington D.C.
"Kazakstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan : country studies","Curtis, Glenn E.",N/A,English ,1997,The Division,Washington D.C.
On winter warfare,"Swinzow, George K",N/A,English ,1992,Department of the Navy,Washington D.C.
"Mongolia, a country study",N/A,N/A,English ,1991,Federal Research Division,Washington D.C.
Historical Fiction,N/A,N/A,English ,1983,"National Library Service for the Blind and Physically Handicapped, Library of Congress",Washington D.C.
The history of the decline and fall of the Roman Empire Vol. 2,"Gibbon, Edward",N/A,English ,1976,Dent,New York
"Corea, the hermit nation","Griffis, William Elliot",N/A,English ,1971,AMS Press,New York
Area handbook for Mongolia ,"Dupay, Trevor N.",N/A,English ,1970,American University,Unknown
History of Russia from the earliest times to 1882,"Rambaud, Alfred","Lang, L.B.",English ,1970,AMS Press,New York
"The expedition for the survey of the rivers Euphrates and Tigris : carried on by order of the British Government in the years 1835, 1836, and 1837; preceded by geographical and historical notices of the regions situated between the rivers Nile and Indus Vol. 2","Chesney, Francis Rawdon",N/A,English ,1969,Green Wood Press,New York
A history of weaponry,"Canby, Courtlandt",N/A,English ,1963,Hawthorn Books Inc.,New york
"Afghanistan, land in transition","Watkins, Mary Bradley",N/A,English ,1963,D.Van Nostrand Company,Princeton
"Despotism, a pictorial history of tyranny","Runes, Dagobert D",N/A,English ,1963,Philosophical Library,New York
God's state and Satan's state,"Dievkocins, Janis",N/A,English ,1963,Janis Dievkocins,N/A
The history and romance of the horse told with pictures,"Alexander, David",N/A,English ,1963,Cooper Square Publishers ,New York
The radiant cross; a novel of the Ukrainian struggle for peace and freedom,"Hirschfeld, Herbert",N/A,English ,1963,The William-Frederick Press,New York
A short history of Russia,"Sumner, Benedict Humphrey",N/A,English ,1962,"Harcourt, Brace and World Inc",New York
Introduction to the history of science Vol. 2,"Sarton, George",N/A,English ,1962,The Williams and Wilkins Company,Baltimore
The Desert World,"Pond, Alonzo W",N/A,English ,1962,Thomas Nelson and sons,New York
The Russo-Chinese borderlands; zone of peaceful contact or potential conflict?,"Jackson, W. A. Douglas",N/A,English ,1962,D. Van Nostrand Company Inc.,Princeton
Artillery and warfare during the thirteenth and fourteenth centuries,"Patrick, John Merton",N/A,English ,1961,Utah State University Press,Logan
"Russian works on China, 1918-1960, in American libraries","Yuan, Tongli",N/A,English ,1961,Yale University Press,New Haven
Getting to know the two Chinas,"Joy, Charles R. ",N/A,English ,1960,Coward-McCann,New York
Marxist-Leninist China: military and social doctrine,"Garvey, James Emmett",N/A,English ,1960,Exposition Press,New York
Masks of Moscow; a history of Russian behavior patterns,"Radzinski, John M",N/A,English ,1960,Regent House,Chicago
"China, Confucian and Communist","Callis, Helmut G.",N/A,English ,1959,Henry Holt and Company,New York
Southwest Asia; a brief history,"Bingham, Woodbridge",N/A,English ,1959,N/A,Berkley
Great Khans and Comrades ,"Golding, Robert Noble",N/A,English ,1958,Vantage Press Inc.,New York
The Kremlin; eight centuries of tyranny and terror,"Koslow, Jules",N/A,English ,1958,Thomas Nelson and sons,New York
Mission to Cathay : the biography of Blessed Ororic of Pordenone,"Romb, Anselm M. ",N/A,English ,1956,St. Anthony Guild Press,Paterson
Southwest Asia; a brief history,"Bingham, Woodbridge",N/A,English ,1956,N/A,Berkley
A history of the Crusades Vol.3,"Setton, Kenneth M. ",N/A,English ,1955,University of Pennsylvania Press,Philadelphia
Parvin,"Der Hagopian, Parsegh",N/A,English ,1953,Borden Publishing Company,Los Angeles
History and God; clues to His purpose,"Munk, Arthur W.",N/A,English ,1952,The Ronald Press Company,New York
Master of the World,"O'Neal, Cothburn",N/A,English ,1952,Crown Publishin Inc,New York
The long arm of Stalin,"Goff, Kenneth",N/A,English ,1952,Kenneth Goff,Englewood
Inner Asian frontiers of China,"Lattimore, Owen",N/A,English ,1951,Capitol Publishing Co.,Irvington-on-Hudson
Makers of War,"Sweeny, Thomas Bell",N/A,English ,1951,Vantage Press Inc.,New York
Red Blight,"Knight, Mary",N/A,English ,1951,Lorrin L. Morrison,Los Angeles
China and the Soviet Union,"Wu, Aichen",N/A,English ,1950,The John Day Company,New York
The story of silk,"Leggett, William F",N/A,English ,1949,Lifetime Editions,New York
The world of the Middle Ages; a reorientation of medieval history,"La Monte, John L.",N/A,English ,1949,Appleton-Century-Crofts ,New York
This is Russia,"Aleksander, Irina",N/A,English ,1947,David McKay Company,Philadelphia
Fighters for freedom; the story of liberty throughout the ages,"Read, Harlan Eugene",N/A,English ,1946,Robert M. McBride and Company,New York
Russia's story,"Erskine, Dorothy.",N/A,English ,1946,Thomas Y. Crowell Company,New York
"Gateway to Asia : Sinkiang, frontier of the Chinese far west","Norins, Martin Richard",N/A,English ,1944,The John Day Company,New York
Russia then and always,"Hyde, Nina ",N/A,English ,1944,Coward-McCann,New York
Top of the world; Arctic lands in human history,"Spinden, Herbert Joseph",N/A,English ,1944,Brooklyn Museum Press,Brooklyn
Siberia,"Lengyel, Emil",N/A,English ,1943,Random House,New York
Total peace: what makes wars and how to organize peace,"Culbertson, Ely",N/A,English ,1943,"Doubleday, Doran, And company",Garden City
War information and censorship,"Davis, Elmer",N/A,English ,1943,American Council on Public Affairs,Washington D.C.
Soviet Asia : democracy's first line of defense,"Davies, Raymond Arthur",N/A,English ,1942,The Dial Press,New York
Asian odyssey,"Alioshin, Dmitri",N/A,English ,1940,Henry Holt and Company,New York
Inner Asian frontiers of China,"Lattimore, Owen",N/A,English ,1940,Oxford University Press,London
The fire bird; an interpretation of Russia,"Botkin, Gleb",N/A,English ,1940,Fleming H. Revell company ,New York
"European civilization; a political, social and cultural history","Thompson, James Westfal",N/A,English ,1939,D. Van Nostrand Company,New York
Retracing Genghis Khan ,"Herrmann, John A.  Borg, Cecil Robert",N/A,English ,1937,"Lothrop, Lee and Shepard Company",Unknown
Our little Mongolian cousin,"Sowers, Phyllis Ayer",N/A,English ,1936,L.C. Page and Company,Boston
A child's history of the world,"Hillyer, V. M",N/A,English ,1935,D. Appleton and Company,New York
The great wall crumbles,"Clark, Grover",N/A,English ,1935,Macmillan Company,New York
The making of today's world,"Hughes, R. O. ",N/A,English ,1935,Allyn and Bacon ,Boston
"The march of civilization, ancient, medieval, and modern world","Wrench, Jesse E. ",N/A,English ,1935,Charles Scribner's Sons,New York
Khan. phantom emperor of 1940,"Oliver, Jerome ",N/A,English ,1934,J.C. Reklar and Co.,New York
